Week,Home Team,Home Goals,Away Goals,Away Team
24,Chelsea,,,Newcastle
24,Crystal Palace,,,Burnley
24,Everton,,,Fulham
24,Leicester,,,Liverpool
24,Man City,,,Spurs
24,Southampton,,,Wolves
24,West Brom,,,Man Utd
24,West Ham,,,Sheffield Utd
25,Arsenal,,,Man City
25,Aston Villa,,,Leicester
25,Brighton,,,Crystal Palace
25,Burnley,,,West Brom
25,Fulham,,,Sheffield Utd
25,Liverpool,,,Everton
25,Man Utd,,,Newcastle
25,Southampton,,,Chelsea
25,West Ham,,,Spurs
25,Wolves,,,Leeds Utd
26,Chelsea,,,Man Utd
26,Crystal Palace,,,Fulham
26,Everton,,,Southampton
26,Leeds Utd,,,Aston Villa
26,Leicester,,,Arsenal
26,Man City,,,West Ham
26,Newcastle,,,Wolves
26,Sheffield Utd,,,Liverpool
26,Spurs,,,Burnley
26,West Brom,,,Brighton
27,Aston Villa,,,Wolves
27,Brighton,,,Leicester
27,Burnley,,,Arsenal
27,Chelsea,,,Everton
27,Liverpool,,,Fulham
27,Man City,,,Man Utd
27,Sheffield Utd,,,Southampton
27,Spurs,,,Crystal Palace
27,West Brom,,,Newcastle
27,West Ham,,,Leeds Utd
28,Arsenal,,,Spurs
28,Crystal Palace,,,West Brom
28,Everton,,,Burnley
28,Fulham,,,Man City
28,Leeds Utd,,,Chelsea
28,Leicester,,,Sheffield Utd
28,Man Utd,,,West Ham
28,Newcastle,,,Aston Villa
28,Southampton,,,Brighton
28,Wolves,,,Liverpool
29,Brighton,,,Newcastle
29,Burnley,,,Leicester
29,Crystal Palace,,,Man Utd
29,Fulham,,,Leeds Utd
29,Liverpool,,,Chelsea
29,Man City,,,Wolves
29,Sheffield Utd,,,Aston Villa
29,Spurs,,,Southampton
29,West Brom,,,Everton
29,West Ham,,,Arsenal
30,Arsenal,,,Liverpool
30,Aston Villa,,,Fulham
30,Chelsea,,,West Brom
30,Everton,,,Crystal Palace
30,Leeds Utd,,,Sheffield Utd
30,Leicester,,,Man City
30,Man Utd,,,Brighton
30,Newcastle,,,Spurs
30,Southampton,,,Burnley
30,Wolves,,,West Ham
31,Brighton,,,Everton
31,Burnley,,,Newcastle
31,Crystal Palace,,,Chelsea
31,Fulham,,,Wolves
31,Liverpool,,,Aston Villa
31,Man City,,,Leeds Utd
31,Sheffield Utd,,,Arsenal
31,Spurs,,,Man Utd
31,West Brom,,,Southampton
31,West Ham,,,Leicester
32,Arsenal,,,Fulham
32,Aston Villa,,,Man City
32,Chelsea,,,Brighton
32,Everton,,,Spurs
32,Leeds Utd,,,Liverpool
32,Leicester,,,West Brom
32,Man Utd,,,Burnley
32,Newcastle,,,West Ham
32,Southampton,,,Crystal Palace
32,Wolves,,,Sheffield Utd
33,Arsenal,,,Everton
33,Aston Villa,,,West Brom
33,Fulham,,,Spurs
33,Leeds Utd,,,Man Utd
33,Leicester,,,Crystal Palace
33,Liverpool,,,Newcastle
33,Man City,,,Southampton
33,Sheffield Utd,,,Brighton
33,West Ham,,,Chelsea
33,Wolves,,,Burnley
34,Brighton,,,Leeds Utd
34,Burnley,,,West Ham
34,Chelsea,,,Fulham
34,Crystal Palace,,,Man City
34,Everton,,,Aston Villa
34,Man Utd,,,Liverpool
34,Newcastle,,,Arsenal
34,Southampton,,,Leicester
34,Spurs,,,Sheffield Utd
34,West Brom,,,Wolves
35,Arsenal,,,West Brom
35,Aston Villa,,,Man Utd
35,Fulham,,,Burnley
35,Leeds Utd,,,Spurs
35,Leicester,,,Newcastle
35,Liverpool,,,Southampton
35,Man City,,,Chelsea
35,Sheffield Utd,,,Crystal Palace
35,West Ham,,,Everton
35,Wolves,,,Brighton
36,Brighton,,,West Ham
36,Burnley,,,Leeds Utd
36,Everton,,,Sheffield Utd
36,Crystal Palace,,,Aston Villa
36,Man Utd,,,Leicester
36,West Brom,,,Liverpool
36,Chelsea,,,Arsenal
36,Newcastle,,,Man City
36,Southampton,,,Fulham
36,Spurs,,,Wolves
37,Brighton,,,Man City
37,Burnley,,,Liverpool
37,Chelsea,,,Leicester
37,Crystal Palace,,,Arsenal
37,Everton,,,Wolves
37,Man Utd,,,Fulham
37,Newcastle,,,Sheffield Utd
37,Southampton,,,Leeds Utd
37,Spurs,,,Aston Villa
37,West Brom,,,West Ham
38,Arsenal,,,Brighton
38,Aston Villa,,,Chelsea
38,Fulham,,,Newcastle
38,Leeds Utd,,,West Brom
38,Leicester,,,Spurs
38,Liverpool,,,Crystal Palace
38,Man City,,,Everton
38,Sheffield Utd,,,Burnley
38,West Ham,,,Southampton
38,Wolves,,,Man Utd
11,Aston Villa,,,Newcastle
1,Burnley,,,Man Utd
1,Man City,,,Aston Villa
